,ID,URL,Availability,Inventory_State,Brand_Link,Name,Brand_Name,Reference,Price,Views,Reference_Number,Box,Papers,Manufactured_In,Style,Gender,Case_Size,Case_Material,Dial_Color,Hours_Markers,Caseback,Case_Shape,Water_Resistance,Movement,Complications,Strap_Bracelet_Material,Band_Color,Buckle_Type,Bracelet_Length,Warranty_Details,Year
0,0,https://www.thewatchbox.com//sg/en/shop/4604732.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/gem-set-watches/,Daytona Cosmograph,ROLEX,REF 116599RBOW,623106.0,55.0,116599RBOW,Yes,Yes,Switzerland,"Casual, Dress",Mens,40mm,WHITE GOLD,BLACK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,WHITE GOLD,SILVER,FOLDING BUCKLE,"7.75""",,2012
1,1,https://www.thewatchbox.com//sg/en/shop/4561080.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 16613,ROLEX,REF 16613 BLU IX OYS,17507.0,45.0,16613 BLU IX OYS,No,No,Switzerland,"Casual, Sport",Mens,40mm,STAINLESS STEEL,BLUE,"DOT, INDEX",Solid,Round,300m,Mechanical(Automatic),DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"8""",,2005
2,2,https://www.thewatchbox.com//sg/en/shop/4728440.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,14018.0,223.0,16610 BLK OYS,Yes,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.75""",,1991
3,3,https://www.thewatchbox.com//sg/en/shop/4547519.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/gem-set-watches/,"Daytona Cosmograph ""Rainbow"" 116598RBOW",ROLEX,REF 116598RBOW-0001,629953.0,144.0,116598RBOW-0001,Yes,No,Switzerland,Dress,Mens,40mm,YELLOW GOLD,BLACK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,YELLOW GOLD,YELLOW GOLD,FOLDING BUCKLE,"8.5""",,2013
4,4,https://www.thewatchbox.com//sg/en/shop/4630653.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LN,ROLEX,REF 116613LN-0001,,32.0,116613LN-0001,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"DOT, INDEX",Solid,Round,300m,Mechanical(Automatic),DATE,"STAINLESS STEEL, YELLOW GOLD","SILVER, YELLOW GOLD",FOLDING BUCKLE,,,
5,5,https://www.thewatchbox.com//sg/en/shop/4546560.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner No Date 14060M,ROLEX,REF 14060 BLK OYS,14116.0,111.0,14060 BLK OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT/INDEX,Solid,Round,300m,Automatic,,STAINLESS STEEL,SILVER,FOLDING BUCKLE,6.5,,2003
6,6,https://www.thewatchbox.com//sg/en/shop/4638227.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,14018.0,100.0,16610 BLK OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.25""",,1991
7,7,https://www.thewatchbox.com//sg/en/shop/4484556.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 6536,ROLEX,REF 6536-1,41072.0,69.0,6536-1,No,No,Switzerland,"Casual, Sport",Mens,,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,,Automatic,TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,1959
8,8,https://www.thewatchbox.com//sg/en/shop/4609095.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Submariner Date ""Smurf"" 116619LB",ROLEX,REF 116619LB-0001,56646.0,85.0,116619LB-0001,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,WHITE GOLD,BLUE,DOT/INDEX,Solid,Round,300m,Automatic,DATE,WHITE GOLD,SILVER,FOLDING BUCKLE,"7.25""",,2011
9,9,https://www.thewatchbox.com//sg/en/shop/4774238.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph 116500LN,ROLEX,REF 116500LN-0002,36774.0,76.0,116500LN-0002,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,INDEX,Solid,Round,100m,Automatic,CHRONOGRAPH,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,2017
10,10,https://www.thewatchbox.com//sg/en/shop/4728572.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 126619LB,ROLEX,REF 126619LB-0003,51386.0,74.0,126619LB-0003,No,No,Switzerland,"Casual, Dress, Sport",Mens,41mm,WHITE GOLD,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,WHITE GOLD,SILVER,FOLDING BUCKLE,10.5 LINKS,,
11,11,https://www.thewatchbox.com//sg/en/shop/4630646.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LB,ROLEX,REF 116613LB-0005,21092.0,57.0,116613LB-0005,Yes,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLUE,DOT/INDEX,Solid,Round,300m,Mechanical(Automatic),DATE,"STAINLESS STEEL, YELLOW GOLD","SILVER, YELLOW GOLD",FOLDING BUCKLE,"7.25""",,2008
12,12,https://www.thewatchbox.com//sg/en/shop/4628699.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Sea-Dweller 4000 16600,ROLEX,REF 16600 BLK IX OYS,13252.0,55.0,16600 BLK IX OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT/INDEX,Solid,Round,1200m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.5""",,1999
13,13,https://www.thewatchbox.com//sg/en/shop/4703674.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Air-King 116900,ROLEX,REF 116900-0001,12733.0,59.0,116900-0001,Yes,Yes,Switzerland,"Casual, Dress",Mens,40mm,STAINLESS STEEL,BLACK,ARABIC NUMERALS,Solid,Round,100m,Mechanical(Automatic),TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"8""",,2021
14,14,https://www.thewatchbox.com//sg/en/shop/4682688.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Sea-Dweller Deepsea ""Deep Blue"" 116660",ROLEX,REF 116660-0003,,60.0,116660-0003,No,Yes,Switzerland,"Casual, Sport",Mens,44mm,STAINLESS STEEL,"BLACK, BLUE","INDEX, DOT",Solid,Round,3900m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7"" 1 LINK",,2016
15,15,https://www.thewatchbox.com//sg/en/shop/4613402.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16613LN,ROLEX,REF 16613 BLK IX OYS,,54.0,16613 BLK IX OYS,No,No,Switzerland,Casual,Mens,40mm,STAINLESS STEEL,BLACK,INDEX,Solid,Round,300m,Mechanical (Automatic),DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"7.75""",,2008
16,16,https://www.thewatchbox.com//sg/en/shop/4634101.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Sea-Dweller 4000 16600,ROLEX,REF 16600 BLK IX OYS,13835.0,57.0,16600 BLK IX OYS,No,No,Switzerland,"Casual, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,1200m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,1991
17,17,https://www.thewatchbox.com//sg/en/shop/4707535.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Sea-Dweller Deepsea ""Deep Blue"" 126660",ROLEX,REF 126660-0002,22680.0,42.0,126660-0002,No,Yes,Switzerland,"Casual, Sport",Mens,44mm,STAINLESS STEEL,"BLACK, BLUE","INDEX, DOT",Solid,Round,3900m,Mechanical(Automatic),CALENDAR,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"8.5""",,2019
18,18,https://www.thewatchbox.com//sg/en/shop/4561643.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"GMT-Master II ""Coke"" 16710",ROLEX,REF 16710 COKE OYS,19580.0,64.0,16710 COKE OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"DOT, INDEX",Solid,Round,100m,Automatic,CALENDAR,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,2002
19,19,https://www.thewatchbox.com//sg/en/shop/4676433.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LB,ROLEX,REF 116613LB BLU DIA OYS,35532.0,56.0,116613LB BLU DIA OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLUE,DOT,Solid,Round,1m,Automatic,DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"7.25""",,2009
20,20,https://www.thewatchbox.com//sg/en/shop/4356689.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/automatic-watches/,Submariner No Date Vintage 5513,ROLEX,REF 5513 BLK IX OYS,41072.0,49.0,5513 BLK IX OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT,Solid,Round,300m,Mechanical(Automatic),TIME ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,Specific Warranty Conditions Apply,1973
21,21,https://www.thewatchbox.com//sg/en/shop/4602033.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16613LN,ROLEX,REF 16613 BLK IX OYS,18554.0,39.0,16613 BLK IX OYS,No,Yes,Switzerland,Casual,Mens,40mm,STAINLESS STEEL,BLACK,INDEX,Solid,Round,300m,Mechanical (Automatic),DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"8""",,2005
22,22,https://www.thewatchbox.com//sg/en/shop/4632568.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/watches/watches-around-the-world/,Explorer II 16570,ROLEX,REF 16570 BLK IX OYS,,38.0,16570 BLK IX OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT,Solid,Round,100m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,6.9,,1991
23,23,https://www.thewatchbox.com//sg/en/shop/4638193.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Air-King 114200,ROLEX,REF 114200 SLV BLU IN ARB OYS,6988.0,39.0,114200 SLV BLU IN ARB OYS,No,No,Switzerland,"Casual, Dress",Mens,34mm,STAINLESS STEEL,SILVER,"ARABIC NUMERALS, INDEX",Solid,Round,100m,Automatic,TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.25""",,
24,24,https://www.thewatchbox.com//sg/en/shop/4648663.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,14915.0,38.0,16610 BLK OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT/INDEX,Solid,Round,300m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"""",,2006
25,25,https://www.thewatchbox.com//sg/en/shop/4701116.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"GMT-Master II ""Coke"" 16710",ROLEX,REF 16710 COKE OYS,19580.0,44.0,16710 COKE OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"DOT, INDEX",Solid,Round,100m,Automatic,CALENDAR,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,2005
26,26,https://www.thewatchbox.com//sg/en/shop/4654612.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,14915.0,50.0,16610 BLK OYS,No,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT/INDEX,Solid,Round,300m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.25""",,2004
27,27,https://www.thewatchbox.com//sg/en/shop/4553426.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Submariner Date ""Hulk"" 116610LV",ROLEX,REF 116610LV-0002,33998.0,47.0,116610LV-0002,No,Yes,Switzerland,"Casual, Sport",Mens,40mm,STAINLESS STEEL,GREEN,DOT,Solid,Round,300m,Automatic,CALENDAR,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.5""",,2013
28,28,https://www.thewatchbox.com//sg/en/shop/4664595.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116618LB,ROLEX,REF 116618LB-0003,50058.0,41.0,116618LB-0003,No,Yes,Switzerland,Casual,Mens,40mm,YELLOW GOLD,BLUE,DOT,Solid,Round,300m,Mechanical(Automatic),DATE,YELLOW GOLD,YELLOW GOLD,FOLDING BUCKLE,"8""",,2012
29,29,https://www.thewatchbox.com//sg/en/shop/4708434.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16613LN,ROLEX,REF 16613 BLK IX OYS,17118.0,46.0,16613 BLK IX OYS,No,Yes,Switzerland,Casual,Mens,40mm,STAINLESS STEEL,BLACK,INDEX,Solid,Round,300m,Mechanical (Automatic),DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"8""",,1999
30,30,https://www.thewatchbox.com//sg/en/shop/4587341.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/gem-set-watches/,"Daytona Cosmograph ""Rainbow""",ROLEX,REF 116599RBOW,623106.0,35.0,116599RBOW,Yes,No,Switzerland,Dress,Mens,40mm,WHITE GOLD,BLACK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,WHITE GOLD,SILVER,FOLDING BUCKLE,6.9,,2013
31,31,https://www.thewatchbox.com//sg/en/shop/4620639.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/staff-picks/,Daytona Cosmograph 116588SACO,ROLEX,REF 116588SACO-0004,477587.0,108.0,116588SACO-0004,Yes,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,YELLOW GOLD,BLACK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,RUBBER,BLACK,DEPLOYANT BUCKLE,,,2019
32,32,https://www.thewatchbox.com//sg/en/shop/4647541.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,14969.0,56.0,16610 BLK OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.25""",,2008
33,33,https://www.thewatchbox.com//sg/en/shop/4748273.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph 116505,ROLEX,REF 116505-0017,97178.0,62.0,116505-0017,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,ROSE GOLD,PINK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,ROSE GOLD,ROSE GOLD,FOLDING BUCKLE,,,2021
34,34,https://www.thewatchbox.com//sg/en/shop/4553442.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Explorer II 16570,ROLEX,REF 16570 BLK IX OYS,11275.0,28.0,16570 BLK IX OYS,No,No,Switzerland,"Casual, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,100m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"8""",,2003
35,35,https://www.thewatchbox.com//sg/en/shop/4652632.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LB,ROLEX,REF 116613LB-0005,22766.0,25.0,116613LB-0005,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLUE,DOT/INDEX,Solid,Round,300m,Automatic,DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"8.25""",,2008
36,36,https://www.thewatchbox.com//sg/en/shop/4660577.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/anything-but-ordinary/,Daytona Cosmograph 116598RBOW,ROLEX,REF 116598RBOW-0001,585997.0,29.0,116598RBOW-0001,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,YELLOW GOLD,BLACK,DIAMOND,Solid,Round,100m,Automatic,CHRONOGRAPH,YELLOW GOLD,YELLOW GOLD,FOLDING BUCKLE,"5 "" NEEDS TO ADD 6 MORE LINKS",,2013
37,37,https://www.thewatchbox.com//sg/en/shop/4610101.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner No Date 114060,ROLEX,REF 114060-0002,16578.0,42.0,114060-0002,No,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,300m,Automatic,TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,2014
38,38,https://www.thewatchbox.com//sg/en/shop/4707626.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 16613,ROLEX,REF 16613 CHP SER OYS,16978.0,37.0,16613 CHP SER OYS,No,No,Switzerland,"Casual, Sport",Mens,40mm,STAINLESS STEEL,CHAMPAGNE,"DIAMOND, GEMS",Solid,Round,100m,Automatic,DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,7.0,,1999
39,39,https://www.thewatchbox.com//sg/en/shop/4716023.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 16803,ROLEX,REF 16803 BLU IX OYS,17896.0,41.0,16803 BLU IX OYS,No,No,Switzerland,Casual,Mens,40mm,STAINLESS STEEL,BLUE,DOT,Solid,Round,300m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"8.25""",,1988
40,40,https://www.thewatchbox.com//sg/en/shop/4682522.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Sea-Dweller Deepsea ""Deep Blue"" 116660",ROLEX,REF 116660-0003,21362.0,108.0,116660-0003,No,Yes,Switzerland,"Casual, Sport",Mens,44mm,STAINLESS STEEL,"BLUE, BLACK",DOT/INDEX,Solid,Round,3900m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"8""",,2016
41,41,https://www.thewatchbox.com//sg/en/shop/4628608.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Sea-Dweller 4000 16600,ROLEX,REF 16600 BLK IX OYS,13360.0,65.0,16600 BLK IX OYS,No,No,Switzerland,"Casual, Sport",Mens,40mm,STAINLESS STEEL,BLACK,"INDEX, DOT",Solid,Round,1200m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.5""",,1993
42,42,https://www.thewatchbox.com//sg/en/shop/4718623.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Sea-Dweller Deepsea ""Deep Blue"" 116660",ROLEX,REF 116660-0003,21190.0,,116660-0003,No,Yes,Switzerland,"Casual, Sport",Mens,44mm,STAINLESS STEEL,"BLACK, BLUE","INDEX, DOT",Solid,Round,3900m,Automatic,DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7"" 1 LINK",,2016
43,43,https://www.thewatchbox.com//sg/en/shop/4757407.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner 126613LB,ROLEX,REF 126613LB-0002,27562.0,25.0,126613LB-0002,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,41mm,STAINLESS STEEL,BLUE,"INDEX, DOT",Solid,Round,300m,Automatic,DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"7.75"" 1 LINK",,2022
44,44,https://www.thewatchbox.com//sg/en/shop/4731568.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Oyster Perpetual 114200,ROLEX,REF 114200-0020,11880.0,59.0,114200-0020,No,No,Switzerland,Casual,Mens,34mm,STAINLESS STEEL,PURPLE,INDEX,Solid,Round,100m,Automatic,TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.25""",,
45,45,https://www.thewatchbox.com//sg/en/shop/4700621.html,Join Waitlist,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16610,ROLEX,REF 16610 BLK OYS,,,16610 BLK OYS,No,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT/INDEX,Solid,Round,300m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,,,2006
46,46,https://www.thewatchbox.com//sg/en/shop/4676953.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16618,ROLEX,REF 16618 BLU DOT OYS,55382.0,,16618 BLU DOT OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,YELLOW GOLD,BLUE,DOT,Solid,Round,300m,Automatic,DATE,YELLOW GOLD,YELLOW GOLD,FOLDING BUCKLE,"7.5""",,1993
47,47,https://www.thewatchbox.com//sg/en/shop/4687075.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613LN,ROLEX,REF 116613LN-0003,25618.0,51.0,116613LN-0003,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DIAMOND,Solid,Round,300m,Automatic,DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"7.5""",,2015
48,48,https://www.thewatchbox.com//sg/en/shop/4521993.html,Make An Offer,,https://www.thewatchbox.com/sg/en/watches/colorful-dial-dw/,Daytona Cosmograph,ROLEX,REF 11659912SA PV DB,172195.0,45.0,11659912SA PV DB,No,No,Switzerland,"Dress, Sport",Mens,40mm,WHITE GOLD,DIAMOND,ARABIC,Solid,Round,100m,Automatic,CHRONOGRAPH,ALLIGATOR,BLUE,DEPLOYANT BUCKLE,,,2008
49,49,https://www.thewatchbox.com//sg/en/shop/4712618.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116613,ROLEX,REF 116613LN-0003,27011.0,59.0,116613LN-0003,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DIAMOND,Solid,Round,300m,Automatic,DATE,TWO-TONE: YELLOW/STAINLESS,TWO TONE: YELLOW/SILVER,FOLDING BUCKLE,"8.5""",,2014
50,50,https://www.thewatchbox.com//sg/en/shop/4664645.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,"Vintage Submariner ""No Date"" 5513",ROLEX,REF 5513 BLK IX OYS,15962.0,39.0,5513 BLK IX OYS,No,No,Switzerland,"Casual, Dress, Sport",Mens,40mm,STAINLESS STEEL,BLACK,DOT,Solid,Round,300m,Mechanical(Automatic),TIME-ONLY,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.75""",,1984
51,51,https://www.thewatchbox.com//sg/en/shop/4769832.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph 116518,ROLEX,REF 116518 BLK IX DB,57510.0,67.0,116518 BLK IX DB,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,YELLOW GOLD,BLACK,INDEX,Solid,Round,100m,Automatic,CHRONOGRAPH,ALLIGATOR,BLACK,DEPLOYANT BUCKLE,,,2017
52,52,https://www.thewatchbox.com//sg/en/shop/4712774.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph 116509,ROLEX,REF 116509-0036,49583.0,63.0,116509-0036,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,WHITE GOLD,BLACK,ARABIC NUMERALS,Solid,Round,100m,Automatic,CHRONOGRAPH,WHITE GOLD,SILVER,FOLDING BUCKLE,,,2005
53,53,https://www.thewatchbox.com//sg/en/shop/4773800.html,Make An Offer,Coming Soon,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph WG 116509,ROLEX,REF 116509-0036,49583.0,62.0,116509-0036,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,WHITE GOLD,BLACK,ARABIC NUMERALS,Solid,Round,100m,Automatic,CHRONOGRAPH,WHITE GOLD,SILVER,FOLDING BUCKLE,"7.25"" 2 LINKS",,2005
54,54,https://www.thewatchbox.com//sg/en/shop/4552766.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 16803,ROLEX,REF 16803 BLU IX OYS,17831.0,41.0,16803 BLU IX OYS,Yes,No,Switzerland,"Casual, Dress",Mens,40mm,STAINLESS STEEL,BLUE,DOT,Solid,Round,300m,Mechanical(Automatic),DATE,STAINLESS STEEL,SILVER,FOLDING BUCKLE,"7.25""",,1988
55,55,https://www.thewatchbox.com//sg/en/shop/4626826.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Submariner Date 116618LB,ROLEX,REF 116618LB-0003,50058.0,58.0,116618LB-0003,No,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,YELLOW GOLD,BLUE,DOT,Solid,Round,300m,Mechanical(Automatic),DATE,YELLOW GOLD,YELLOW GOLD,FOLDING BUCKLE,"8.5""",,2009
56,56,https://www.thewatchbox.com//sg/en/shop/4719449.html,Make An Offer,,https://www.thewatchbox.com/sg/en/search/?q=Rolex,Daytona Cosmograph 116505,ROLEX,REF 116505-0009,73667.0,,116505-0009,Yes,Yes,Switzerland,"Casual, Dress, Sport",Mens,40mm,ROSE GOLD,PINK,INDEX,Solid,Round,100m,Automatic,CHRONOGRAPH,ROSE GOLD,ROSE GOLD,FOLDING BUCKLE,,,2022
